player_id,team_id,name,position,dob,height_cm,weight_kg,debut_year,status
1,1,Taylor Walker,Forward,1990-04-25,193,100,2009,Active
2,1,Rory Laird,Midfielder,1993-01-28,183,82,2013,Active
3,1,Matt Crouch,Midfielder,1995-05-17,183,82,2015,Active
4,1,Jordan Dawson,Midfielder,1997-06-15,187,83,2018,Active
5,1,Ben Keays,Midfielder,1997-12-29,188,90,2019,Active
6,2,Lachie Neale,Midfielder,1993-03-31,180,80,2012,Active
7,2,Hugh McCluggage,Midfielder,1999-03-07,185,82,2018,Active
8,2,Joe Daniher,Forward,1994-12-30,199,102,2014,Active
9,2,Zac Bailey,Forward,1999-01-19,183,84,2018,Active
10,2,Harris Andrews,Defender,1996-10-06,200,103,2015,Active
11,3,Patrick Cripps,Midfielder,1995-05-30,193,98,2014,Active
12,3,Charlie Curnow,Forward,1997-05-31,194,95,2016,Active
13,3,Sam Walsh,Midfielder,2000-01-07,184,84,2019,Active
14,3,Adam Saad,Defender,1994-09-30,177,79,2014,Active
15,3,Matthew Kennedy,Midfielder,1997-01-28,185,83,2018,Active
16,4,Scott Pendlebury,Midfielder,1988-01-07,191,87,2006,Active
17,4,Darcy Moore,Defender,1997-05-21,200,103,2016,Active
18,4,Jordan De Goey,Midfielder,1996-10-16,186,88,2015,Active
19,4,Jack Crisp,Defender,1993-01-31,183,83,2013,Active
20,4,Brody Mihocek,Forward,1993-11-23,188,90,2017,Active
21,5,Zach Merrett,Midfielder,1996-10-03,183,83,2015,Active
22,5,Andrew McGrath,Midfielder,1999-01-04,184,85,2018,Active
23,5,Dylan Shiel,Midfielder,1993-05-03,183,83,2013,Active
24,5,Jake Stringer,Forward,1994-04-04,188,95,2013,Active
25,5,Kyle Langford,Forward,1997-11-07,188,90,2016,Active
26,6,Nat Fyfe,Midfielder,1991-11-07,190,95,2011,Active
27,6,Andrew Brayshaw,Midfielder,1999-08-22,183,82,2018,Active
28,6,David Mundy,Midfielder,1986-07-14,181,84,2005,Active
29,6,Michael Walters,Forward,1990-07-29,180,85,2011,Active
30,6,Rory Lobb,Ruckman,1993-03-22,205,112,2013,Active
31,7,Patrick Dangerfield,Midfielder,1990-04-05,188,95,2008,Active
32,7,Tom Hawkins,Forward,1988-07-21,198,104,2007,Active
33,7,Jeremy Cameron,Forward,1994-04-01,194,95,2012,Active
34,7,Mark Blicavs,Ruckman,1991-04-23,199,105,2013,Active
35,7,Mitch Duncan,Midfielder,1991-05-08,185,85,2010,Active
36,8,Touk Miller,Midfielder,1996-01-16,182,82,2015,Active
37,8,Matt Rowell,Midfielder,2001-03-15,181,82,2020,Active
38,8,Ben King,Forward,2000-08-31,199,104,2019,Active
39,8,Noah Anderson,Midfielder,2001-02-03,188,88,2020,Active
40,8,Sam Collins,Defender,1995-12-20,198,103,2017,Active
41,9,Toby Greene,Forward,1993-08-11,185,88,2012,Active
42,9,Lachie Whitfield,Midfielder,1995-02-24,183,80,2014,Active
43,9,Josh Kelly,Midfielder,1996-06-11,186,85,2016,Active
44,9,Jesse Hogan,Forward,1995-02-16,195,97,2014,Active
45,9,Stephen Coniglio,Midfielder,1994-11-11,183,85,2013,Active
46,10,James Sicily,Defender,1995-05-23,189,90,2014,Active
47,10,Jai Newcombe,Midfielder,2001-06-16,189,88,2021,Active
48,10,Mitch Lewis,Forward,1998-07-28,199,103,2018,Active
49,10,Jack Gunston,Forward,1992-08-04,187,91,2011,Active
50,10,Tom Mitchell,Midfielder,1994-10-17,183,83,2014,Active
51,11,Clayton Oliver,Midfielder,1997-07-22,185,85,2016,Active
52,11,Christian Petracca,Midfielder,1996-01-16,188,93,2015,Active
53,11,Max Gawn,Ruckman,1991-06-13,211,120,2011,Active
54,11,Bayley Fritsch,Forward,1998-03-29,187,85,2017,Active
55,11,Steven May,Defender,1991-01-18,192,98,2011,Active
56,12,Luke Davies-Uniacke,Midfielder,1999-10-03,189,87,2018,Active
57,12,Jy Simpkin,Midfielder,2000-04-23,178,77,2018,Active
58,12,Nick Larkey,Forward,1998-12-18,200,101,2018,Active
59,12,Callum Coleman-Jones,Ruckman,1999-10-22,205,108,2019,Active
60,12,Aaron Hall,Midfielder,1993-09-12,180,80,2014,Active
61,13,Zak Butters,Midfielder,2001-05-19,186,86,2020,Active
62,13,Connor Rozee,Forward,2000-09-03,182,84,2019,Active
63,13,Ollie Wines,Midfielder,1994-07-22,186,91,2014,Active
64,13,Jeremy Finlayson,Forward,1996-04-22,195,98,2016,Active
65,13,Miles Bergman,Defender,1999-08-09,193,90,2019,Active
66,14,Dustin Martin,Midfielder,1991-06-27,188,95,2010,Active
67,14,Trent Cotchin,Midfielder,1990-04-28,184,88,2008,Active
68,14,Tom Lynch,Forward,1993-01-31,199,103,2012,Active
69,14,Shai Bolton,Midfielder,1999-11-05,177,80,2018,Active
70,14,Dylan Grimes,Defender,1991-01-14,188,90,2011,Active
71,15,Jack Steele,Midfielder,1995-10-01,188,92,2015,Active
72,15,Max King,Forward,2001-01-25,200,105,2019,Active
73,15,Dan Butler,Forward,1995-10-22,177,80,2017,Active
74,15,Hunter Clark,Midfielder,2000-03-16,190,87,2019,Active
75,15,Rowan Marshall,Ruckman,1996-06-07,204,111,2017,Active
76,16,Callum Mills,Midfielder,1997-12-03,185,83,2016,Active
77,16,Lance Franklin,Forward,1987-01-30,199,106,2005,Active
78,16,Errol Gulden,Midfielder,2002-05-27,178,76,2021,Active
79,16,James Rowbottom,Midfielder,2001-03-21,187,87,2020,Active
