stat_id,fixture_id,team_id,is_home,score,goals,behinds,shots_at_goal,disposals,kicks,handballs,marks,tackles,hitouts,clearances,inside_50s,rebound_50s,contested_possessions,uncontested_possessions,metres_gained,turnovers,free_kicks_for,free_kicks_against
1,1,1,1,61,8,13,21,350,190,160,110,75,40,45,48,30,140,210,4800,62,22,28
2,1,2,0,92,13,10,23,375,205,170,118,82,42,50,55,28,155,220,5100,58,26,20
3,2,3,1,106,15,16,31,390,210,180,122,85,38,52,58,32,150,240,5300,55,24,22
4,2,18,0,102,14,14,28,368,198,170,115,80,40,48,52,33,148,220,5000,60,20,26
5,3,4,1,94,13,12,25,372,200,172,118,82,44,48,50,31,152,220,5050,57,21,25
6,3,17,0,113,16,7,23,388,208,180,120,84,46,52,56,29,160,228,5200,53,25,21
7,4,5,1,86,12,10,22,360,195,165,112,78,38,44,46,34,142,218,4900,64,19,27
8,4,16,0,60,8,12,20,340,185,155,108,72,36,40,42,36,135,205,4700,68,18,30
9,5,6,1,117,16,21,37,380,205,175,120,88,42,50,58,30,158,222,5150,56,27,19
10,5,15,0,93,13,6,19,358,192,166,112,75,40,44,48,32,140,218,4850,62,21,25
11,6,7,1,118,17,7,24,395,215,180,125,90,48,55,62,28,162,233,5350,52,28,18
12,6,14,0,100,14,4,18,372,200,172,118,82,44,48,52,33,152,220,5000,58,22,24
13,7,8,1,113,16,17,33,376,202,174,116,84,50,50,55,31,156,220,5100,57,25,21
14,7,13,0,92,12,16,28,355,190,165,110,78,38,44,46,34,140,215,4800,63,20,26
15,8,9,1,109,15,14,29,382,206,176,120,86,46,52,58,30,158,224,5200,55,26,20
16,8,12,0,103,14,17,31,365,195,170,114,80,42,46,52,32,148,217,4950,60,22,24
17,9,10,1,81,11,15,26,358,192,166,112,76,44,44,46,35,142,216,4850,65,20,26
18,9,11,0,92,12,20,32,370,198,172,116,82,46,48,52,31,152,218,4980,59,24,22
19,10,1,1,106,15,11,26,378,202,176,118,84,40,50,55,31,152,226,5150,57,25,21
20,10,3,0,61,8,13,21,348,188,160,108,72,36,42,44,35,136,212,4750,67,18,29
21,11,4,1,91,13,4,17,370,198,172,116,82,42,46,50,32,150,220,5000,58,22,24
22,11,2,0,77,11,6,17,355,190,165,110,76,40,42,46,34,140,215,4800,63,20,26
23,12,5,1,98,14,2,16,368,196,172,114,80,44,46,50,32,148,220,4950,60,23,23
24,12,18,0,100,14,4,18,372,200,172,116,82,44,48,52,31,152,220,5000,58,22,24
25,13,6,1,94,13,7,20,360,194,166,112,78,40,44,48,33,142,218,4880,62,21,25
26,13,17,0,107,15,7,22,378,202,176,118,84,44,50,55,30,155,223,5100,57,26,20
27,14,7,1,128,18,4,22,395,215,180,125,92,50,56,64,28,165,230,5400,50,30,16
28,14,16,0,108,15,13,28,375,200,175,118,82,44,50,55,31,155,220,5050,57,24,22
29,15,8,1,83,11,17,28,355,190,165,108,75,42,42,46,35,140,215,4800,64,20,26
30,15,15,0,111,15,21,36,372,198,174,116,82,44,46,52,32,150,222,4980,59,24,22
31,16,9,1,89,13,2,15,365,195,170,112,80,44,44,48,33,145,220,4880,62,22,24
32,16,14,0,57,8,9,17,340,182,158,105,70,36,38,40,37,130,210,4650,70,17,31
33,17,10,1,109,16,13,29,382,205,177,120,86,46,52,57,30,158,224,5200,55,27,19
34,17,13,0,112,16,16,32,378,202,176,118,84,44,50,55,31,155,223,5100,57,25,21
35,18,11,1,66,9,12,21,350,188,162,108,74,44,44,46,34,142,208,4800,65,20,26
36,18,12,0,99,13,18,31,368,196,172,114,80,42,46,50,32,148,220,4950,60,23,23
37,19,1,1,125,17,22,39,385,208,177,122,88,40,52,60,30,160,225,5250,54,28,18
38,19,2,0,108,15,13,28,375,200,175,118,82,44,50,55,31,155,220,5050,57,24,22
39,20,3,1,108,15,13,28,375,200,175,118,82,44,50,55,31,155,220,5050,57,24,22
40,20,18,0,77,10,17,27,352,188,164,108,74,38,42,44,36,138,214,4760,65,19,27
41,21,4,1,102,14,6,20,372,198,174,116,82,44,46,52,31,150,222,4980,59,24,22
42,21,17,0,99,13,18,31,365,194,171,113,80,42,44,48,33,145,220,4880,62,22,24
43,22,5,1,101,14,5,19,370,196,174,114,80,44,46,50,32,148,222,4940,61,23,23
44,22,16,0,121,17,10,27,388,208,180,122,86,44,52,58,30,160,228,5250,53,27,19
45,23,6,1,94,13,7,20,360,194,166,112,78,40,44,48,33,142,218,4880,62,21,25
46,23,15,0,100,14,4,18,372,198,174,114,82,42,46,50,32,150,222,4970,60,23,23
47,24,7,1,102,14,6,20,375,202,173,118,84,46,48,54,31,155,220,5080,57,25,21
48,24,14,0,95,13,14,27,362,194,168,112,78,44,44,48,33,144,218,4860,63,21,25
49,25,8,1,74,10,14,24,345,185,160,106,72,44,40,42,37,135,210,4680,68,18,30
50,25,13,0,118,17,7,24,385,208,177,122,88,40,52,60,30,160,225,5250,54,28,18
51,26,9,1,88,12,16,28,360,192,168,110,78,44,44,48,33,142,218,4850,63,21,25
52,26,12,0,69,9,18,27,345,184,161,106,72,38,40,42,36,132,213,4700,67,18,29
53,27,10,1,80,11,14,25,355,190,165,108,76,44,42,46,35,140,215,4800,64,20,26
54,27,11,0,100,14,4,18,372,198,174,114,82,44,46,50,32,150,222,4970,60,23,23
55,28,1,1,98,13,17,30,368,196,172,114,80,40,46,50,32,148,220,4940,61,23,23
56,28,3,0,91,12,19,31,360,192,168,110,76,42,42,46,35,138,222,4830,64,20,26
57,29,4,1,80,11,14,25,352,188,164,108,73,40,42,44,35,138,214,4760,65,19,27
58,29,2,0,88,12,16,28,362,194,168,112,78,44,44,48,33,144,218,4860,63,21,25
59,30,5,1,85,12,7,19,358,192,166,110,76,42,42,46,34,140,218,4830,64,20,26
60,30,18,0,116,16,20,36,382,204,178,120,84,44,50,56,30,158,224,5200,55,27,19
61,31,6,1,101,14,5,19,370,198,172,114,80,42,46,50,32,150,220,4960,60,23,23
62,31,17,0,63,9,2,11,335,180,155,102,68,38,38,38,38,128,207,4550,72,16,32
63,32,7,1,120,17,7,24,392,212,180,124,90,50,55,62,28,162,230,5350,52,30,16
64,32,16,0,89,12,17,29,358,192,166,110,76,44,42,46,35,140,218,4830,64,20,26
65,33,8,1,122,17,19,36,388,208,180,122,88,50,54,62,28,162,226,5300,53,28,18
66,33,15,0,82,11,16,27,350,188,162,108,74,42,40,44,36,136,214,4750,66,19,27
